# Las sinergias del juego (NOTAS O-191): id como en la partida, el objeto
# de la mochila que la da, tipo (ofensiva/defensiva), los personajes que
# tienen que estar en el equipo (chara_base_id y nombre) y sus efectos.
# Lo genera herramientas/construir_sinergias.py.
id,item_id,nombre,tipo,icono,orden,personajes_ids,personajes,efectos
33C6901D,9F95E6E0,Centinela temporal,defensiva,sf01000020,0,-1416125486;-36895660,Jack Wallside;Tod Ironside,Tasa de obtención del equipo (inusuales) +30%|Tensión necesaria para brecha del equipo -40 %
12EC8B08,12EC8B08,Trío rompedor,defensiva,sp01001,7601,-1717452464;-2122802650;-2097394104,Mark Evans;Axel Blaze;Jude Sharp,PP del equipo +2 %|Valor de foco en DF +3 %|Poder de supertécnicas de montaña +5 %
A8BD8291,A8BD8291,Las gerentes más allegadas,defensiva,sp01002,7602,1019792507;634649914;1787980797,Silvia Woods;Celia Hills;Nelly Raimon,DF del muro +5 %|Valor de foco en DF +3 %|AT y DF del equipo durante la primera mitad +2 %
3E8D85E6,3E8D85E6,El fénix y su ala,defensiva,sp01003,7603,-1424960657;-2143453012,Erik Eagle;Bobby Shearer,Valor de foco en DF +7 %|Poder de supertécnicas de bosque +5 %
FC433E1A,FC433E1A,Las inquebrantables,defensiva,sp02001,7604,-656049099;1111223376,Victoria Vanguard;Suzette Hartland,Valor de foco en DF +8 % en campo propio|Enfriamiento de campo de foco propio -10 %
992482A2,992482A2,Cicatrices de la Royal Redux,defensiva,sp03001,7605,-597163897;-995009551;-982306362,Caleb Stonewall;Joseph King;David Samford,DF del equipo +4 %|AT y DF del equipo durante la primera mitad +2 %
23758B3B,23758B3B,El heredero del Rai Rai,defensiva,sp03002,7606,925201769;1655961962,Seymour Hillman;Archer Hawkins,PP del equipo +2 %|DF del muro +5 %|Reducción de Tensión -5 %
B5458C4C,B5458C4C,El mejor aprendiz de la Leyenda,defensiva,sp03003,7607,-535579060;-1288390853,Hector Helio;David Arrows,PP del equipo +5 %|Poder de supertécnicas de montaña +5 %
201C553F,201C553F,"Pese a todo, compañeros",defensiva,sp04001,7608,-105935755;-1372110396,Gabriel García;Aitor Cazador,DF del muro +10 %|AT y DF del equipo durante la primera mitad +2 %
9A4D5CA6,9A4D5CA6,Las gerentes de GO,defensiva,sp04002,7609,-2036414871;-1618610392;404614119,Skie Blue;Rosie Redd;Jade Greene,DF del muro +5 %|Valor de foco en DF +4 % en campo propio|Reducción de Tensión -5 %
